Značka,Název,Cena,Úhlopříčka,Rozlišení,RAM (GB),Disk (GB),SSD,CPU
Lenovo,Lenovo LOQ 15IRX9,27767,15.6,2560x1440,16,1000.0,1,Intel i5-13450HX
HP,ProBook 455 G10,18690,15.6,1920x1080,16,512.0,1,AMD Ryzen 5-7530U
MSI,MSI Thin 15 B12UCX-1471XCZ,16490,15.6,1920x1080,16,512.0,1,Intel i5-12450H
Lenovo,Pro 7 16IRX9H,74989,16,2560x1600,32,1000.0,1,Intel i9-14900HX
VICTUS,VICTUS by HP 15-fb2933nc Performance,28749,15.6,1920x1080,16,1000.0,1,AMD Ryzen 5-8645HS
Lenovo,IdeaPad Slim 3 15IRH8,12989,15.6,1920x1080,16,512.0,1,Intel i5-13420H
Lenovo,Lenovo LOQ 15IAX9,21499,15.6,1920x1080,24,1000.0,1,Intel i5-12450HX
Lenovo,IdeaPad 1 15ALC7,12989,15.6,1920x1080,16,512.0,1,AMD Ryzen 5-5500U
Dell,Dell Vostro 3530,19990,15.6,1920x1080,16,512.0,1,Intel i5-1334U
Acer,Aspire 5 15 Steel,15990,15.6,1920x1080,16,1000.0,1,Intel i5-13420H
MSI,MSI Katana 17 B12UDXK-250XCZ,20990,17.3,1920x1080,16,512.0,1,Intel i5-12450H
Acer,Acer Nitro V 16,27990,16,1920x1200,16,1000.0,1,AMD Ryzen 7-8845HS
Dell,Dell Vostro 3530,20090,15.6,1920x1080,16,512.0,1,Intel i7-1355U
HP,HP ENVY 17-da0001nc,33990,17.3,1920x1080,32,1000.0,1,Intel Ultra 5-125H
Acer,Acer Predator Helios Neo 18 Abyssal,45990,18,2560x1600,32,1000.0,1,Intel i9-14900HX
VICTUS,VICTUS by HP 15-fb2953nc Performance,29990,15.6,1920x1080,16,1000.0,1,AMD Ryzen 7-8845HS
MacBook,Air CZ 2025,35990,13.6,2560x1664,16,512.0,1,Apple M4
Dell,Dell Latitude 3540,14990,15.6,1920x1080,8,256.0,1,Intel i3-1315U
Lenovo,IdeaPad Slim 5 16ABR8,17989,16,1920x1200,16,512.0,1,AMD Ryzen 7-7730U
Acer,Acer Nitro V 15,26990,15.6,1920x1080,16,1000.0,1,Intel i9-13900H
Umax,VisionBook 15WN Plus,7490,15.6,1920x1080,8,256.0,1,Intel Processor N100
Acer,Acer Nitro 17,35990,17.3,2560x1440,32,1000.0,1,AMD Ryzen 7-8845HS
Umax,VisionBook 14WN Plus,6239,14.1,1920x1080,8,256.0,1,Intel Processor N100
ASUS,ASUS ExpertBook P5 P5405CSA-ULTRA7X,33490,14,2560x1600,32,1000.0,1,Intel Ultra 7-258V
