Značka,Název,Cena,Úhlopříčka,Rozlišení,RAM (GB),Disk (GB),SSD,CPU
Lenovo,IdeaPad Flex 5 16ABR8 Lenovo,17989,16,1920x1200,16,512.0,1,AMD Ryzen 5-7430U
Lenovo,IdeaPad Slim 5 16IAH8,17989,16,1920x1200,16,512.0,1,Intel i5-12450H
Lenovo,IdeaPad Slim 3 14IAH8,12989,14,1920x1080,16,512.0,1,Intel i5-12450H
Lenovo,IdeaPad 3 17ALC6,13989,17.3,1920x1080,8,512.0,1,AMD Ryzen 5-5500U
Lenovo,Lenovo LOQ 15IAX9,23989,15.6,1920x1080,16,1000.0,1,Intel i5-12450HX
Acer,Acer Nitro V 15,28990,15.6,1920x1080,32,1000.0,1,AMD Ryzen 7-7735HS
Umax,VisionBook 14WRX,4590,14.1,1920x1080,4,128.0,1,Intel Celeron N4020
MSI,MSI Cyborg 15 A13VE-1455CZ,26490,15.6,1920x1080,16,1000.0,1,Intel i5-13420H
Lenovo,Yoga 7 2-in-1 14IML9 Tidal Teal Lenovo,31989,14,2880x1800,16,1000.0,1,Intel Ultra 7-155H
ASUS,Zenbook S 13 OLED UX5304MA-OLED008X Ponder,37990,13.3,2880x1800,32,1000.0,1,Intel Ultra 7-155U
Lenovo,IdeaPad Slim 5 13ARP10,20989,13.3,1920x1200,16,1000.0,1,AMD Ryzen 7-7735HS
HP,HP 15-fc0904nc Moonlight,15990,15.6,1920x1080,16,512.0,1,AMD Ryzen 7-7730U
Dell,Dell Vostro 15,15490,15.6,1920x1080,8,512.0,1,Intel i5-1334U
HP,HP EliteBook 660 G11,27490,16,1920x1200,16,512.0,1,Intel Ultra 5-125U
Lenovo,IdeaPad Pro 5 16AHP9,26989,16,2048x1280,16,512.0,1,AMD Ryzen 5-8645HS
Lenovo,IdeaPad Pro 5 16IMH9,26654,16,2048x1280,16,512.0,1,Intel Ultra 5-125H
Lenovo,IdeaPad Slim 3 15IAH8,12989,15.6,1920x1080,8,512.0,1,Intel i5-12450H
Lenovo,Yoga 7 14ARP8 Lenovo,26989,14,2880x1800,16,1000.0,1,AMD Ryzen 7-7735U
Lenovo,Yoga 7 2-in-1 14AHP9 Lenovo,19989,14,1920x1200,16,512.0,1,AMD Ryzen 5-8640HS
Lenovo,Lenovo LOQ 15IRX9,28989,15.6,1920x1080,16,1000.0,1,Intel i7-13650HX
ASUS,ProArt PZ13 OLED HT5306QA-OLED006X,29990,13.3,2880x1800,16,1000.0,1,Snapdragon X Plus X1P-42-100
Lenovo,IdeaPad 3 17ALC6,11989,17.3,1920x1080,8,512.0,1,AMD Ryzen 5-5500U
MacBook,Air CZ 2024,43990,13.6,2560x1664,16,1000.0,1,Apple M3
Lenovo,IdeaPad Pro 5 14IRH8,29461,14,2880x1800,16,1000.0,1,Intel i7-13700H
Dell,Dell Latitude 9440 Touch,59990,14,2560x1600,16,512.0,1,Intel i7-1365U
ASUS,TUF Gaming A16 FA608WV-QT015W Jaeger,47357,16,2560x1600,32,1000.0,1,AMD Ryzen AI 9-HX370
Lenovo,IdeaPad Slim 5 16IRL8,23989,16,2560x1600,16,1000.0,1,Intel i7-13620H
Acer,Acer Nitro V 15,28990,15.6,1920x1080,16,1000.0,1,Intel i9-13900H
GIGABYTE,GIGABYTE AORUS 16X 9KG,35990,16,2560x1600,16,1000.0,1,Intel i7-13650HX
Lenovo,IdeaPad Slim 5 16IRL8,19989,16,1920x1200,16,512.0,1,Intel i7-13620H
Lenovo,Yoga Slim 7 15ILL9 AURA Edition,39989,15.3,2880x1800,32,1000.0,1,Intel Ultra 7-258V
HP,HP ENVY x360 14-fa0900nc Glacier,26990,14,1920x1200,16,1000.0,1,AMD Ryzen 5-8640HS
MacBook,Air CZ 2024,34990,15.3,2880x1864,16,256.0,1,Apple M3
MSI,MSI Cyborg 15 A13VF-1454XCZ,25990,15.6,1920x1080,16,1000.0,1,Intel i5-13420H
Acer,Acer Swift Go 14 Steel,24990,14,2880x1800,32,1000.0,1,AMD Ryzen 7-8845HS
Lenovo,Lenovo Legion 7 16IRX9 Glacier,52989,16,3200x2000,32,1000.0,1,Intel i9-14900HX
Acer,Acer Nitro 5,33990,17.3,1920x1080,16,1000.0,1,Intel i9-12900H
ASUS,Vivobook 17X K3704VA-AU092W Indie,26656,17.3,1920x1080,16,1000.0,1,Intel i7-13700H
Lenovo,IdeaPad Slim 5 16AHP9,19989,16,1920x1200,16,1000.0,1,AMD Ryzen 5-8645HS
Microsoft,Surface Pro,34990,13,2880x1920,16,512.0,1,Snapdragon X Plus X1P-64-100
Lenovo,Lenovo ThinkBook 16 G7 ARP,17690,16,1920x1200,16,512.0,1,AMD Ryzen 3-7335U
MacBook,Air CZ 2024,39890,15.3,2880x1864,16,512.0,1,Apple M3
Lenovo,IdeaPad Slim 5 14Q8X9,23989,14,1920x1200,32,1000.0,1,Snapdragon X Plus X1P-42-100
ASUS,ASUS ExpertBook B9 OLED B9403CVAR-OLED732X,36937,14,2880x1800,32,2000.0,1,Intel Core 7-150U
Lenovo,Yoga Pro 9 16IMH9 Tidal Teal,67990,16,3200x2000,64,1000.0,1,Intel Ultra 9-185H
ASUS,ASUS ExpertBook B1 B1403CVA-S61490,14211,14,1920x1080,16,512.0,1,Intel i5-13420H
ASUS,Chromebook Detachable CL3 CL3001DM2A-R70260,8390,10.5,1920x1200,8,128.0,1,MediaTek Kompanio 520
HP,HP ENVY x360 15-fe0900nc OLED,31990,15.6,1920x1080,16,1000.0,1,Intel i5-1335U
MacBook,Air CZ 2024,39890,15.3,2880x1864,16,512.0,1,Apple M3
Lenovo,Yoga Pro 7 14IMH9 Tidal Teal,25990,14.5,3072x1920,32,1000.0,1,Intel Ultra 5-125H
Lenovo,Yoga 9 2-in-1 14IMH9 Cosmic,42224,14,3840x2400,16,1000.0,1,Intel Ultra 7-155H
Lenovo,Lenovo Legion 7 16IRX9,62490,16,3200x2000,32,1000.0,1,Intel i9-14900HX
Lenovo,IdeaPad Duet 3 11IAN8,10989,11.5,2000x1200,4,128.0,1,Intel Processor N100
ASUS,Vivobook 16 X1605VA-MB1629W Indie,13990,16,1920x1200,16,512.0,1,Intel i3-1315U
MacBook,Air CZ 2024,41990,15.3,2880x1864,24,512.0,1,Apple M3
Lenovo,Lenovo ThinkPad X9-14 Gen 1,56790,14,2880x1800,32,2000.0,1,Intel Ultra 7-258V
Dell,Dell Vostro 3520,13990,15.6,1920x1080,8,512.0,1,Intel i3-1215U
Lenovo,IdeaPad Slim 5 15IRH9,16989,15.3,1920x1200,16,1000.0,1,Intel i5-13420H
ASUS,Vivobook S 14 OLED M5406KA-OLED071W,27990,14,1920x1200,24,1000.0,1,AMD Ryzen AI 7-350
Lenovo,IdeaPad 5 2-in-1 14IRH9 Cosmic Lenovo,18409,14,1920x1200,16,512.0,1,Intel i5-13420H
Lenovo,IdeaPad Slim 5 14IMH9,17989,14,1920x1200,16,1000.0,1,Intel Ultra 5-125H
Lenovo,Lenovo ThinkBook 16 G6 IRL,21990,16,1920x1200,16,1000.0,1,Intel i5-1335U
MSI,MSI Summit E16 AI Studio A1VFTG-022CZ,54990,16,2560x1600,32,2000.0,1,Intel Ultra 7-155H
Lenovo,IdeaPad 3 14ALC6,9986,14,1920x1080,4,128.0,1,AMD Ryzen 3-5300U
Lenovo,IdeaPad 3 17ALC6,10989,17.3,1600x900,8,512.0,1,AMD Ryzen 5-5500U
Lenovo,IdeaPad 1 15ALC7,9989,15.6,1920x1080,16,512.0,1,AMD Ryzen 5-5500U
ASUS,ASUS ExpertBook P1 P1503CVA-NJ0258X,16305,15.6,1920x1080,16,512.0,1,Intel i3-1315U
HP,HP Pavilion 16-ag0002nc,22990,16,1920x1200,16,1000.0,1,AMD Ryzen 7-8840U
ASUS,TUF Gaming A15 FA506NCR-HN177,19989,15.6,1920x1080,16,1000.0,1,AMD Ryzen 7-7435HS
Lenovo,Lenovo LOQ 16IRH8,24200,16,2560x1600,16,1000.0,1,Intel i5-13500H
Acer,Acer Nitro 5,33990,15.6,2560x1440,32,1000.0,1,Intel i9-12900H
HP,HP Spectre x360 16-aa0902nc OLED Slate,55290,16,2880x1800,32,1000.0,1,Intel Ultra 7-155H
Acer,Acer Nitro 5,27990,15.6,2560x1440,16,1000.0,1,Intel i7-12650H
Lenovo,IdeaPad Slim 3 15IRH8,15989,15.6,1920x1080,16,1000.0,1,Intel i7-13620H
Microsoft,Surface Laptop Go 3 CZ/SK,27290,12.45,1536x1024,16,256.0,1,Intel i5-1235U
Microsoft,Surface Go 4 Platinum,19990,10.51,1920x1280,8,128.0,1,Intel Processor N200
Lenovo,Yoga 9 2-in-1 14ILL10,46989,14,2880x1800,32,1000.0,1,Intel Ultra 7-258V
VICTUS,VICTUS by HP 15-fb2934nc Mica,29990,15.6,1920x1080,16,1000.0,1,AMD Ryzen 5-8645HS
Acer,Acer TravelMate P2 16 Steel,19990,16,1920x1200,16,512.0,1,AMD Ryzen 5-PRO7535
Lenovo,IdeaPad Duet 3 11IAN8 Lenovo,12989,11.5,2000x1200,8,128.0,1,Intel Processor N100
MacBook,Air CZ 2024,45890,15.3,2880x1864,24,512.0,1,Apple M3
MacBook,Air SK 2024,32990,13.6,2560x1664,16,512.0,1,Apple M3
ASUS,ASUS ExpertBook BM BM1503CDA-S70171X,18937,15.6,1920x1080,16,512.0,1,AMD Ryzen 5-7535U
HP,HP Pavilion 16-af0901nc,24990,16,2048x1280,16,1000.0,1,Intel Ultra 5-125U
Lenovo,Lenovo LOQ 15IAX9,27882,15.6,1920x1080,24,512.0,1,Intel i5-12450HX
Microsoft,Surface Laptop7th Edition,37990,15,2496x1664,16,256.0,1,Snapdragon X Elite X1E-78-100
Lenovo,Yoga Pro 7 14IMH9 Tidal Teal,44989,14.5,2880x1800,32,1000.0,1,Intel Ultra 7-155H
Lenovo,Lenovo ThinkPad E14 Gen 5,22690,14,1920x1200,8,512.0,1,Intel i5-1335U
Lenovo,IdeaPad Slim 5 14AHP9,18989,14,1920x1200,16,1000.0,1,AMD Ryzen 5-8645HS
MacBook,Air International 2020,21343,13.3,2560x1600,16,256.0,1,Apple M1
Lenovo,IdeaPad Flex 5 14ALC7 Stone Lenovo,19989,14,1920x1200,16,1000.0,1,AMD Ryzen 7-5700U
Lenovo,IdeaPad 1 14ALC7,9989,14,1920x1080,16,512.0,1,AMD Ryzen 5-5500U
ASUS,TUF Gaming A14 FA401UU-RG011W Jaeger,32211,14,2560x1600,16,512.0,1,AMD Ryzen 7-8845HS
ASUS,Vivobook S 15 OLED S5507QA-OLED006W,31490,15.6,2880x1620,16,1000.0,1,Snapdragon X Elite X1E-78-100
Lenovo,IdeaPad 5 2-in-1 16AHP9 Cosmic Lenovo,19989,16,2048x1280,16,512.0,1,AMD Ryzen 5-8645HS
Lenovo,IdeaPad Duet 3 11IAN8 Lenovo,11499,11.5,2000x1200,4,128.0,1,Intel Processor N100
ASUS,ROG Flow X16 GV601VV-NEBULA062X Off,50516,16,2560x1600,16,1000.0,1,Intel i9-13900H
Microsoft,Surface Laptop,43990,13.8,2304x1536,16,1000.0,1,Snapdragon X Elite X1E-78-100
Lenovo,Lenovo ThinkBook 14 G7 ARP,18990,14,1920x1200,16,512.0,1,AMD Ryzen 3-7335U
Lenovo,IdeaPad Duet 5 CB 13Q7C6 Lenovo,12989,13.3,1920x1080,8,128.0,1,Snapdragon X 7c
Lenovo,Lenovo ThinkPad T14s Gen 4 Deep,52990,14,1920x1200,16,1000.0,1,Intel i7-1355U
Lenovo,IdeaPad 5 2-in-1 14IRH9 Lenovo,21699,14,1920x1200,16,512.0,1,Intel i5-13420H
VICTUS,VICTUS by HP 15-fb2935nc Mica,31990,15.6,1920x1080,16,1000.0,1,AMD Ryzen 7-8845HS
Microsoft,Surface Laptop|Snapdragon® X Elite,43990,13.8,2304x1536,16,1000.0,1,Snapdragon X Elite X1E-78-100
Lenovo,IdeaPad 5 2-in-1 14IRH9 Cosmic Lenovo,24725,14,1920x1200,16,1000.0,1,Intel i7-13620H
ASUS,Vivobook S 16 OLED S5606MA-OLED027W,31990,16,3200x2000,16,1000.0,1,Intel Ultra 9-185H
Lenovo,IdeaPad Pro 5 16IRH8,27989,16,2560x1600,16,1000.0,1,Intel i5-13500H
Lenovo,IdeaPad Slim 5 14IAH8,17989,14,1920x1200,16,512.0,1,Intel i5-12450H
Lenovo,Lenovo ThinkPad L13 Gen 4 Thunder,27990,13.3,1920x1200,16,512.0,1,AMD Ryzen 5-7530U
Acer,Chromebook Spin 312 Sparkly,9859,12.2,1920x1200,8,128.0,1,Intel i3-N305
Lenovo,IdeaPad Flex 5 14ABR8,15989,14,1920x1200,8,512.0,1,AMD Ryzen 5-7430U
Lenovo,IdeaPad Slim 3 15IRH8,18989,15.6,1920x1080,16,512.0,1,Intel i7-13620H
Lenovo,IdeaPad Flex 3 12IAN8,9989,12.2,1920x1200,8,128.0,1,Intel Processor N100
Lenovo,IdeaPad Slim 3 15IAH8,10989,15.6,1920x1080,8,512.0,1,Intel i5-12450H
Lenovo,IdeaPad Flex 5 14ALC7 Lenovo,15989,14,1920x1200,8,512.0,1,AMD Ryzen 5-5500U
Lenovo,Lenovo V15 G4 IRU Business,12589,15.6,1920x1080,8,512.0,1,Intel i5-13420H
Lenovo,Yoga Slim 7 14APU8 Tidal Teal,31989,14.5,2944x1840,32,1000.0,1,AMD Ryzen 7-7840S
Lenovo,IdeaPad Slim 3 15IRH8,17989,15.6,1920x1080,16,512.0,1,Intel i5-13420H
MacBook,Air CZ 2024,38990,13.6,2560x1664,24,512.0,1,Apple M3
Lenovo,IdeaPad Flex 3 12IAN8,8999,12.2,1920x1200,8,128.0,1,Intel Processor N100
Lenovo,Lenovo LOQ 15ARP9,29599,15.6,1920x1080,24,512.0,1,AMD Ryzen 7-7435HS
HP,HP ENVY 17-da0900nc Glacier Touch,34590,17.3,1920x1080,32,1000.0,1,Intel Ultra 5-125H
HP,HP Pavilion x360 14-ek1433nc,17790,14,1920x1080,8,512.0,1,Intel i3-1315U
Lenovo,IdeaPad Slim 3 15ABR8,17989,15.6,1920x1080,16,1000.0,1,AMD Ryzen 7-7730U
Lenovo,Yoga Pro 7 14IMH9,31490,14.5,3072x1920,32,1000.0,1,Intel Ultra 7-155H
Lenovo,Lenovo LOQ 15IRX9,28305,15.6,1920x1080,16,1000.0,1,Intel i5-13450HX
Acer,Aspire 3 Spin,13990,14,1920x1200,8,512.0,1,Intel i3-N305
Acer,Acer Swift Go 16 EVO Steel,28990,16,3200x2000,32,1000.0,1,Intel Ultra 7-155H
Lenovo,IdeaPad Duet 3 11IAN8,9989,11.5,2000x1200,4,128.0,1,Intel Processor N100
Acer,Chromebook 315 Sparkly,8849,15.6,1920x1080,8,128.0,1,Intel Processor N100
Lenovo,IdeaPad 5 2-in-1 14Q8X9 Lenovo,22989,14,1920x1200,16,512.0,1,Snapdragon X Plus X1P-42-100
Lenovo,Lenovo ThinkBook 16 G7 QOY,29990,16,1920x1200,32,1000.0,1,Snapdragon X Plus X1P-42-100
HP,HP ENVY x360 14-fc0900nc Atmospheric,30990,14,2880x1800,16,1000.0,1,Intel Ultra 5-125U
Acer,Acer Nitro V 16,25990,16,1920x1200,16,1000.0,1,AMD Ryzen 7-8845HS
VICTUS,VICTUS by HP 15-fb0930nc Performance,20490,15.6,1920x1080,16,512.0,1,AMD Ryzen 5-5600H
HP,HP Pavilion Aero 13-bg0900nc,25990,13.3,2560x1600,16,1000.0,1,AMD Ryzen 5-8640U
Lenovo,Lenovo LOQ 15IRX9,28989,15.6,1920x1080,16,1000.0,1,Intel i7-13650HX
Lenovo,Lenovo LOQ 15IAX9I,17989,15.6,1920x1080,16,1000.0,1,Intel i5-12450HX
VICTUS,VICTUS by HP 15-fa1936nc Performance,28990,15.6,1920x1080,16,1000.0,1,Intel i5-12500H
Lenovo,IdeaPad Duet 5 12IRU8 Lenovo,19989,12.4,2560x1600,8,256.0,1,Intel i3-1315U
Lenovo,Lenovo ThinkPad T14s Gen 4 Deep LTE,48590,14,2880x1800,32,1000.0,1,AMD Ryzen 7-7840U
Lenovo,Chromebook Duet 11M889,7989,10.95,1920x1080,4,,0,MediaTek Kompanio 838
MacBook,Pro PRO CZ 2024,71990,14.2,3024x1964,24,1000.0,1,Apple M4
Lenovo,IdeaPad Slim 5 14AHP9,19463,14,1920x1200,16,512.0,1,AMD Ryzen 5-8645HS
Lenovo,IdeaPad Slim 5 16AHP9,19989,16,2048x1280,16,1000.0,1,AMD Ryzen 5-8645HS
Lenovo,Lenovo LOQ 15IAX9,19989,15.6,1920x1080,16,1000.0,1,Intel i5-12450HX
Lenovo,Yoga Pro 7 14IMH9,49490,14.5,3072x1920,32,1000.0,1,Intel Ultra 9-185H
Lenovo,IdeaPad 5 2-in-1 14AHP9 Cosmic Lenovo,22989,14,1920x1200,16,1000.0,1,AMD Ryzen 5-8645HS
Acer,Acer Swift Go 14 EVO,27990,14,2880x1800,32,1000.0,1,Intel Ultra 7-155H
HP,HP 17-cn2901nc,20790,17.3,1920x1080,16,1000.0,1,Intel i5-1235U
Lenovo,IdeaPad Slim 5 16IAH8,19490,16,1920x1200,16,1000.0,1,Intel i5-12450H
ASUS,Vivobook 14 Flip TP3407SA-OLED021W Matte,27990,14,1920x1200,16,1000.0,1,Intel Ultra 7-256V
Microsoft,Surface Laptop,47990,15,2496x1664,16,1000.0,1,Snapdragon X Elite X1E-78-100
HP,HP Pavilion Aero 13-bg0434nc,25990,13.3,1920x1200,16,512.0,1,AMD Ryzen 7-8840U
Acer,Aspire 5 15 Steel,17690,15.6,1920x1080,16,1000.0,1,AMD Ryzen 7-7730U
Lenovo,Lenovo Legion Slim 5 14APH8,30989,14.5,2880x1800,16,512.0,1,AMD Ryzen 7-7840HS
Lenovo,IdeaPad Slim 5 16IRL8,21042,16,2560x1600,16,1000.0,1,Intel i5-13420H
Lenovo,IdeaPad Slim 5 16IMH9,18989,16,2048x1280,16,512.0,1,Intel Ultra 5-125H
Lenovo,Lenovo ThinkBook 14 G7 IML,28390,14,1920x1200,16,1000.0,1,Intel Ultra 7-155H
Lenovo,IdeaPad Slim 3 14IAN8,10989,14,1920x1080,8,256.0,1,Intel i3-N305
Lenovo,IdeaPad Slim 5 16IMH9,19989,16,2048x1280,16,1000.0,1,Intel Ultra 5-125H
Lenovo,IdeaPad Slim 3 14M868,8989,14,1920x1080,8,128.0,1,MediaTek Kompanio 520
MacBook,Air CZ 2022,25990,13.6,2560x1664,8,256.0,1,Apple M2
Lenovo,IdeaPad Duet 5 Chromebook 13Q7C6,12989,13.3,1920x1080,8,128.0,1,Snapdragon X 7c
Lenovo,IdeaPad Slim 5 15IRU9,19989,15.6,1920x1200,16,1000.0,1,Intel Core 5-120U
ASUS,Vivobook 16 X1605VA-MB1266W Indie,16990,16,1920x1200,16,1000.0,1,Intel i5-13420H
Lenovo,IdeaPad Pro 5 14AHP9,26989,14,2880x1800,16,1000.0,1,AMD Ryzen 7-8845HS
Acer,Chromebook Plus 515 Steel,11990,15.6,1920x1080,8,256.0,1,Intel i3-1315U
Lenovo,IdeaPad Slim 5 14IMH9,19989,14,1920x1200,16,1000.0,1,Intel Ultra 5-125H
Lenovo,IdeaPad Slim 5 14IAH8,17989,14,1920x1200,16,1000.0,1,Intel i5-12450H
Lenovo,IdeaPad Slim 5 16IRL8,19989,16,1920x1200,16,1000.0,1,Intel i5-13420H
MacBook,Air SK 2022,25900,13.6,2560x1664,8,256.0,1,Apple M2
Lenovo,IdeaPad Flex 5 14ABR8 Lenovo,17989,14,1920x1200,16,512.0,1,AMD Ryzen 5-7430U
HP,HP Pavilion 16-af0433nc,21990,16,1920x1200,16,1000.0,1,Intel Ultra 5-125U
HP,HP ENVY x360 14-fc0433nc,34990,14,2880x1800,16,1000.0,1,Intel Ultra 7-155U
MacBook,Air CZ 2024,32990,13.6,2560x1664,16,512.0,1,Apple M3
Lenovo,IdeaPad Duet 3 11IAN8,11989,11.5,2000x1200,8,128.0,1,Intel Processor N100
Lenovo,IdeaPad Pro 5 16IMH9,36989,16,2048x1280,16,1000.0,1,Intel Ultra 7-155H
Lenovo,IdeaPad Slim 5 16IMH9,19989,16,2048x1280,16,1000.0,1,Intel Ultra 5-125H
Lenovo,IdeaPad Slim 5 16IRL8,17499,16,1920x1200,16,512.0,1,Intel i7-13620H
MacBook,Air SK 2022,26398,13.6,2560x1664,8,512.0,1,Apple M2
Lenovo,Lenovo LOQ Essential 15IAX9E,16989,15.6,1920x1080,16,1000.0,1,Intel i5-12450HX
ASUS,ASUS ExpertBook B3 Flip B3402FVA-LE0120X,23322,14,1920x1080,16,512.0,1,Intel i5-1335U
Lenovo,Lenovo ThinkBook 16 G7 IML,21990,16,1920x1200,16,512.0,1,Intel Ultra 5-125U
Acer,Aspire 14 Steel,17990,14,1920x1200,16,1000.0,1,Intel Core 7-150U
Lenovo,IdeaPad Flex 5 14ALC7 Lenovo,19989,14,1920x1200,16,1000.0,1,AMD Ryzen 7-5700U
Lenovo,Lenovo V14 G4 AMN Business,9389,14,1920x1080,8,256.0,1,AMD Ryzen 3-7320U
ASUS,Vivobook S 15 OLED S5506MA-OLED036W,27990,15.6,2880x1620,16,512.0,1,Intel Ultra 7-155H
ASUS,Vivobook S 16 Flip TN3604YA-MC031W,23736,16,1920x1200,16,512.0,1,AMD Ryzen 7-7730U
HP,HP 250R G9 Dark Ash,13990,15.6,1920x1080,8,512.0,1,Intel i5-1335U
Lenovo,IdeaPad Slim 5 14ABR8,16989,14,1920x1200,16,1000.0,1,AMD Ryzen 7-7730U
MacBook,Air CZ 2022,27990,13.6,2560x1664,16,256.0,1,Apple M2
Lenovo,IdeaPad 1 14ALC7,11989,14,1920x1080,8,512.0,1,AMD Ryzen 5-5625U
GIGABYTE,GIGABYTE G5 KF5,22990,15.6,1920x1080,16,512.0,1,Intel i7-13620H
Lenovo,Lenovo LOQ 15IRX9,26989,15.6,1920x1080,16,1000.0,1,Intel i5-13450HX
HP,HP ENVY x360 16-ad0900nc OLED Meteor,34990,16,2880x1800,16,1000.0,1,AMD Ryzen 7-8840HS
Microsoft,Surface Go 4 Platinum,22990,10.51,1920x1280,8,256.0,1,Intel Processor N200
MacBook,Air CZ 2024,31990,13.6,2560x1664,8,512.0,1,Apple M3
Lenovo,Lenovo ThinkPad X1 Carbon Gen 12 5G,74390,14,2880x1800,32,1000.0,1,Intel Ultra 7-155U
Lenovo,IdeaPad Slim 5 14ABR8,14989,14,1920x1200,16,512.0,1,AMD Ryzen 7-7730U
Acer,Chromebook 315 Sparkly,9979,15.6,1920x1080,8,128.0,1,Intel Processor N100
Lenovo,IdeaPad Duet 5 CB 13Q7C6 Lenovo,13989,13.3,1920x1080,8,256.0,1,Snapdragon X 7c
Lenovo,Yoga 9 2-in-1 14IMH9 Cosmic Lenovo,42989,14,2880x1800,32,1000.0,1,Intel Ultra 7-155H
Lenovo,IdeaPad Slim 5 14IRL8,17989,14,1920x1200,16,512.0,1,Intel i5-13420H
Lenovo,IdeaPad Flex 5 14IAU7 Stone Lenovo,12989,14,1920x1200,8,128.0,1,Intel i3-1215U
MacBook,Air CZ 2025,41990,13.6,2560x1664,24,512.0,1,Apple M4
HP,ProBook 440 G11,24990,14,1920x1200,32,1000.0,1,Intel Ultra 7-155H
Microsoft,Surface Pro,41990,13,2880x1920,16,512.0,1,Snapdragon X Elite X1E-80-100
MacBook,Air CZ 2022,35990,13.6,2560x1664,16,512.0,1,Apple M2
Lenovo,IdeaPad Slim 3 14IAH8,17989,14,1920x1080,16,1000.0,1,Intel i5-12450H
Lenovo,IdeaPad 5 2-in-1 14AHP9 Lenovo,19989,14,1920x1200,16,1000.0,1,AMD Ryzen 5-8645HS
MSI,MSI Vector 16 HX AI A2XWIG-023CZ,71990,16,2560x1600,32,1000.0,1,Intel Ultra 9-275HX
MacBook,Air CZ 2024,43990,13.6,2560x1664,16,1000.0,1,Apple M3
ASUS,ROG Zephyrus G14 GA403UV-NEBULA038W,58937,14,2880x1800,32,1000.0,1,AMD Ryzen 9-8945HS
GIGABYTE,GIGABYTE AORUS 16X 9SG,38990,16,2560x1600,16,1000.0,1,Intel i7-13650HX
Lenovo,Yoga Book 9 13IMU9 Tidal Teal Lenovo,59989,,,32,1000.0,1,Intel Ultra 7-155U
Lenovo,Lenovo LOQ 15IAX9,19989,15.6,1920x1080,24,512.0,1,Intel i5-12450HX
Lenovo,IdeaPad Slim 5 15IRU9,19490,15.3,1920x1200,32,1000.0,1,Intel Core 5-120U
Microsoft,Surface Pro,41990,13,2880x1920,16,512.0,1,Snapdragon X Elite X1E-80-100
MacBook,Air CZ 2025,29990,13.6,2560x1664,16,256.0,1,Apple M4
HP,HP EliteBook 865 G11,44990,16,1920x1200,32,1000.0,1,AMD Ryzen 7-8840HS
HP,HP EliteBook 665 G11,25490,16,1920x1200,16,512.0,1,AMD Ryzen 5-7535U
Microsoft,Surface Laptop7th Edition,35190,13.8,2304x1536,16,512.0,1,Snapdragon X Plus X1P-64-100
Lenovo,IdeaPad Pro 5 14IMH9,28411,14,2880x1800,32,1000.0,1,Intel Ultra 7-155H
HP,HP Spectre x360 14-eu0900nc OLED Nightfall,46990,14,2880x1800,32,1000.0,1,Intel Ultra 7-155H
Microsoft,Surface Go 4 Platinum,16990,10.51,1920x1280,8,,0,Intel Processor N200
Acer,Acer Nitro V 16,27990,16,1920x1200,16,1000.0,1,AMD Ryzen 5-8645HS
ASUS,ROG Strix G16 G614JI-N4081W,44989,16,2560x1600,32,1000.0,1,Intel i7-13650HX
MSI,MSI Prestige 13 AI Evo A1MG-037CZ,34990,13.3,2880x1800,32,1000.0,1,Intel Ultra 7-155H
HP,ProBook 460 G11,22490,16,1920x1200,16,512.0,1,Intel Ultra 5-125U
MacBook,Air CZ 2024,55990,15.3,2880x1864,24,1000.0,1,Apple M3
MacBook,Air CZ 2024,43990,13.6,2560x1664,16,1000.0,1,Apple M3
MacBook,Air CZ 2024,34990,15.3,2880x1864,8,256.0,1,Apple M3
MacBook,Air CZ 2025,36990,15.3,2880x1864,16,256.0,1,Apple M4
GIGABYTE,GIGABYTE G5 MF5,20990,15.6,1920x1080,16,512.0,1,Intel i7-13620H
MacBook,Air CZ 2025,41990,13.6,2560x1664,24,512.0,1,Apple M4
ASUS,ROG Flow Z13 GZ301VU-NEBULA026X,52490,13.4,2560x1600,16,1000.0,1,Intel i9-13900H
MacBook,Air CZ 2022,27990,13.6,2560x1664,16,256.0,1,Apple M2
MacBook,Air CZ 2024,36990,15.3,2880x1864,8,512.0,1,Apple M3
HP,HP 14-em0932nc,16990,14,1920x1080,16,512.0,1,AMD Ryzen 7-7730U
Lenovo,Lenovo ThinkPad T14s Gen 6 Snapdragon,54790,14,1920x1200,32,1000.0,1,Snapdragon X Elite X1E-78-100
Lenovo,IdeaPad Slim 5 14ABR8,18989,14,1920x1200,16,512.0,1,AMD Ryzen 7-7730U
Microsoft,Surface Laptop 5 Platinum CZ/SK,34490,13.5,2256x1504,16,512.0,1,Intel i5-1235U
MacBook,Air CZ 2024,38990,13.6,2560x1664,24,512.0,1,Apple M3
Lenovo,Yoga 9 2-in-1 14IMH9 Lenovo,43990,14,3840x2400,16,1000.0,1,Intel Ultra 7-155H
ASUS,Zenbook Duo UX8406CA-OLED088W Basalt,50990,14,2880x1800,32,1000.0,1,Intel Ultra 7-255H
Lenovo,IdeaPad Pro 5 16AHP9,34989,16,2048x1280,16,1000.0,1,AMD Ryzen 7-8845HS
MacBook,Air SK 2022,27528,13.6,2560x1664,8,512.0,1,Apple M2
Lenovo,Lenovo ThinkBook 14 G7 IML,20390,14,1920x1200,16,1000.0,1,Intel Ultra 5-125U
